Cluster 2.5,Depth,ID,Session,Orientation Index,Orientation Cicular Variance,Direction Index,Direction Cicular Variance,Orientation tuning fit_R2,Orientation tuning BandWidth,SimpleComplexIndex,Vis Responsive,umap_x,umap_y,cluster 1.0,depth_scaled
4,-995.6239025,4,1,0.091414575,0.976031632,0.149806944,0.955775154,0.49922854,8.759252204,0.118894705,0,-0.811353564,5.497846127,6,-940.5188879
4,-970,6,1,0.911914996,0.301623768,0.597625896,0.462496617,0.95612028,17.24159857,0.961018823,1,-2.63224864,5.22863102,6,-913.2758224
4,-697.800332,36,1,0.677103193,0.569587526,0.086585691,0.928992724,0.935715995,14.63096708,0.356918175,1,-1.987685084,4.899096489,6,-623.8759782
4,-650,39,1,0.430064141,0.768070789,0.219651632,0.853105617,0.898539942,19.85009973,0.769309636,0,-3.312164068,6.866403103,6,-573.0551645
4,-650,40,1,0.227423664,0.963930637,0.414844192,0.949408825,0.684418819,6.356114689,0.074613213,0,-3.590979815,7.299543858,6,-573.0551645
4,-643.0761488,41,1,0.211743118,0.852243245,0.845811791,0.865032208,0.524522132,6.768332747,0.355781282,0,-3.364660263,6.859188557,6,-565.6937982
2,-552.1395654,46,1,0.386119758,0.818944337,0.213999718,0.928687782,0.90055223,16.39488967,0.539645371,1,10.91404438,1.621103525,3,-488
4,-490,52,1,0.85796824,0.295171068,0.987582329,0.170903869,0.995718384,16.5602787,0.188757321,1,-1.728502512,5.12970829,6,-429.2841679
4,-490,53,1,0.244721627,0.859617433,0.149006431,0.949468943,0.938080485,20.40794313,1.5050596,1,-0.157823682,5.980093479,6,-429.2841679
2,-412.0377544,55,1,0.753641351,0.496135358,0.13211908,0.881822578,0.986234651,20.89338738,0.298644503,1,11.54998589,1.524512768,3,-355.6174453
1,-368.5399483,56,1,1,0.175000801,0.485091403,0.64161559,0.998496345,11.98752424,0.896232502,1,7.911355972,7.685122967,2,-314.5162585
2,-348.1810948,57,1,0.959932193,0.394109173,0.465947048,0.722160405,0.8998833,20.24018964,0.820961847,1,10.25547409,2.855649233,3,-295.2791265
0,-355.8449646,59,1,0.748344924,0.5078111,0.083893269,0.943662772,0.98682009,20.20900416,0.342473256,1,1.260478854,12.18008614,0,-302.5207364
0,-298.0917397,61,1,0.624920948,0.643525818,0.98584897,0.264284977,0.833605148,90,0.155118664,1,-2.223962784,10.31581497,7,-247.9495685
2,-287.0262005,62,1,0.995030468,0.101645758,0.26141972,0.795470536,0.997870842,9.424945534,0.863757618,1,10.66012573,2.782959938,3,-237.4937125
0,-254.5262578,64,1,0.579051074,0.682408928,0.934641849,0.306290681,0.859023576,12.7301361,0.383246556,1,0.396307021,8.722331047,1,-206.7844346
0,-36.04602801,70,1,0.941434864,0.302008397,0.067786189,0.944577913,0.978653344,21.39145465,0.203087106,1,-0.639394403,9.312501907,1,-0.341914217
1,70.88994336,74,1,0.983447952,0.348847803,0.176068167,0.914143588,0.976842971,16.00146983,0.391061732,1,5.481918335,7.90364027,8,72.566035
1,146.0639174,80,1,0.848455611,0.464812045,0.055647848,0.987969536,0.989751463,27.6954597,0.186230522,1,9.171064377,5.660217285,2,151.7732632
4,122.2086816,81,1,0.209715401,0.908965433,0.116442308,0.879744866,0.7012487,11.79655111,1.167518615,1,-2.161774397,4.939693928,6,126.6381399
1,148.7619546,83,1,0.810596121,0.47396836,0.020082758,0.993559808,0.98513438,22.60727481,0.343530506,1,9.222724915,6.160177231,2,154.6160562
3,183.5244235,84,1,0.767169028,0.497155092,0.071252175,0.980385975,0.991491437,23.81573792,0.170725201,1,6.869878769,3.597758293,4,191.2436103
1,176.476823,89,1,0.624686264,0.572517572,0.023845122,0.979477709,0.990386897,22.72131234,0.389279006,1,9.073187828,6.742590427,2,183.81789
3,209.7384961,93,1,0.719146817,0.534837841,0.07952645,0.976266122,0.992921924,23.4551438,0.323712838,1,7.193139076,4.4974823,4,218.8641274
1,229.2508995,94,1,0.810096481,0.447530832,0.103511739,0.974847921,0.994578275,22.92042089,0.229538603,1,6.115985394,9.45800209,2,239.4234154
