Cluster 2.5,Depth,ID,Session,cluster 1.0
4,-995.6239025,4,1,6
4,-970,6,1,6
4,-697.800332,36,1,6
4,-650,39,1,6
4,-650,40,1,6
4,-643.0761488,41,1,6
2,-552.1395654,46,1,3
4,-490,52,1,6
4,-490,53,1,6
2,-412.0377544,55,1,3
1,-368.5399483,56,1,2
2,-348.1810948,57,1,3
0,-355.8449646,59,1,0
0,-298.0917397,61,1,7
2,-287.0262005,62,1,3
0,-254.5262578,64,1,1
0,-36.04602801,70,1,1
1,70.88994336,74,1,8
1,146.0639174,80,1,2
4,122.2086816,81,1,6
1,148.7619546,83,1,2
3,183.5244235,84,1,4
1,176.476823,89,1,2
3,209.7384961,93,1,4
1,229.2508995,94,1,2
2,217.5890565,95,1,3
3,245.1489733,100,1,8
3,258.3008051,102,1,8
3,259.1258612,103,1,8
1,266.5638759,106,1,2
1,300.1795895,109,1,2
3,290.3467266,110,1,8
4,286.4290987,111,1,6
0,330.8001326,118,1,5
0,323.0945696,119,1,5
0,350.3849699,121,1,0
0,371.1096459,122,1,5
0,364.9433817,123,1,5
0,372.3933519,124,1,0
0,382.4517606,125,1,1
0,394.0410843,127,1,1
0,402.1178004,130,1,1
0,414.4287298,131,1,7
0,448.9869281,132,1,5
0,465.905527,134,1,5
1,489.745167,135,1,2
0,502.8885741,136,1,0
4,494.7242251,137,1,6
0,502.9404002,139,1,0
0,530,148,1,7
1,517.4476798,155,1,2
4,554.8483951,156,1,6
3,558.6393388,157,1,8
1,617.0320214,159,1,2
1,618.2894538,161,1,2
3,650.662404,163,1,8
1,696.4299636,167,1,2
1,743.4989208,169,1,2
3,776.5982661,174,1,4
0,743.448345,177,1,0
3,788.1326279,178,1,2
3,826.6533821,184,1,4
1,892.455854,186,1,2
2,884.1224963,189,1,3
1,931.9433307,195,1,2
0,955.2896902,196,1,5
1,975.2551175,200,1,2
3,996.1093943,202,1,8
0,997.4487436,204,1,1
3,1030.219387,205,1,8
3,1015.451859,206,1,4
3,1030.68248,207,1,4
3,1060.790383,209,1,4
3,1067.098158,211,1,4
2,1066.839954,212,1,2
3,1115.556716,213,1,4
3,1122.822191,214,1,4
2,1136.446291,217,1,3
2,1272.939142,219,1,3
4,-650,233,1,6
3,77.08937171,236,1,8
1,94.60461499,237,1,2
3,88.85255659,238,1,8
0,186.6268229,240,1,1
0,364.0707415,241,1,5
0,387.9305219,242,1,1
0,416.6207915,243,1,5
0,415.8861628,244,1,7
0,464.6756205,246,1,0
1,506.7087251,247,1,2
0,562.0807562,248,1,0
1,747.4902725,249,1,2
1,856.6257822,252,1,2
3,889.8477504,254,1,4
3,175.8393354,256,1,8
0,926.017442,257,1,5
0,997.6269251,258,1,7
3,1054.830258,259,1,2
0,404.3433372,261,1,1
3,190.4353759,262,1,8
4,-1002.697032,3,2,6
2,-669.3055879,14,2,3
2,-619.0075984,15,2,3
2,-526.5133124,17,2,3
0,-387.1362738,27,2,1
2,-425.3708297,28,2,3
2,-399.136399,29,2,3
3,-377.0584268,31,2,4
3,-356.017677,33,2,4
0,-338.3892972,44,2,7
1,-329.8723262,46,2,2
4,-290.6931573,51,2,6
2,-273.8371412,52,2,3
2,-258.787551,53,2,3
2,-271.2765197,54,2,3
2,-260.9099635,55,2,3
1,-254.0853542,56,2,2
2,-245.2772485,57,2,3
2,-233.7053783,58,2,3
3,-209.9815285,59,2,4
3,-221.9027623,60,2,8
2,-209.267191,61,2,3
2,-206.2453791,63,2,3
2,-163.6341393,67,2,3
3,-98.0142466,70,2,4
0,-135.8288853,74,2,7
1,-80.90868077,75,2,2
0,-65.85116928,76,2,1
4,-5.485497148,84,2,6
1,8.011316082,86,2,2
0,30.75108812,89,2,5
3,30,90,2,8
3,43.35496148,91,2,4
2,43.63475322,92,2,3
3,66.13779457,96,2,4
1,73.54296384,98,2,2
3,99.31146181,100,2,4
1,86.05773225,101,2,2
3,114.9986419,107,2,4
3,116.6386006,108,2,4
2,115.6594339,110,2,3
3,123.6730119,112,2,4
3,130.4794981,113,2,4
3,127.2568985,114,2,4
3,145.8417591,116,2,4
3,182.9185708,124,2,4
0,155.4342941,128,2,5
4,170,130,2,6
0,175.4459122,132,2,0
3,182.1557686,136,2,8
3,194.3266497,137,2,8
1,193.5883001,138,2,2
3,210.0427328,139,2,8
0,196.4595659,140,2,7
0,238.7741959,143,2,5
4,225.661257,144,2,6
1,231.2992321,145,2,2
0,223.3151361,146,2,0
0,264.3528015,147,2,0
1,268.6258366,154,2,2
0,272.8693822,155,2,5
0,289.1899445,159,2,1
0,285.0853263,160,2,1
0,312.0059398,163,2,1
0,312.643093,164,2,5
0,312.0860632,165,2,0
1,316.0742961,166,2,2
0,330.9545592,167,2,5
4,343.4973106,169,2,6
0,338.8064933,171,2,1
0,350.686961,175,2,5
0,343.9632852,176,2,0
0,365.176018,179,2,7
0,375.0769142,180,2,7
2,377.1898072,187,2,3
0,391.3374501,188,2,7
0,401.545254,189,2,7
2,388.9649899,196,2,3
1,390.3245933,197,2,2
0,400.2219295,198,2,5
0,423.5365872,204,2,0
0,436.4028742,207,2,5
0,460.0925878,214,2,5
0,489.747502,218,2,5
0,497.732537,220,2,0
4,535.1458698,222,2,6
1,534.4285094,223,2,2
0,571.2278516,228,2,5
4,590,231,2,6
1,604.9047268,234,2,2
1,612.0493172,237,2,2
0,650,240,2,7
1,658.073179,243,2,2
2,694.369186,247,2,3
0,648.4074006,250,2,7
1,745.3398229,254,2,2
3,773.6161901,257,2,3
0,789.0248645,258,2,0
2,839.8040681,266,2,3
4,867.9600875,268,2,6
3,896.9122424,272,2,8
0,901.4922019,273,2,1
3,907.5208921,277,2,4
1,897.5405714,278,2,2
1,930,280,2,2
3,948.3534254,282,2,4
1,955.1966535,284,2,2
2,983.9087397,285,2,3
3,1009.095363,288,2,4
2,1009.611694,290,2,3
3,1049.563376,293,2,4
3,1056.273006,294,2,8
0,1080.134867,297,2,1
2,1097.661804,298,2,3
3,1092.55905,299,2,4
0,1111.434229,300,2,1
4,-476.1861614,314,2,6
2,-282.9618839,315,2,3
2,-284.3721369,316,2,3
2,-249.8731621,317,2,3
0,-199.8950164,318,2,5
0,-106.2717572,320,2,7
3,31.05409144,321,2,8
1,42.28039826,322,2,2
1,44.215814,323,2,2
3,91.41121723,324,2,4
3,113.9538946,325,2,4
3,169.7110026,327,2,8
3,177.6272609,328,2,4
0,197.5480287,337,2,5
0,232.5475999,341,2,5
3,320.7721815,345,2,4
3,316.7913689,346,2,8
0,355.4156458,347,2,0
0,347.5014666,348,2,1
0,345.4867482,349,2,5
0,353.5448695,350,2,1
0,369.9809688,351,2,7
0,364.4910058,352,2,7
0,392.835833,353,2,7
0,404.3684176,354,2,7
0,404.0537522,355,2,1
0,430.3545607,356,2,0
0,434.4650079,358,2,5
0,471.6399038,359,2,5
0,454.5289611,360,2,1
0,485.3483852,361,2,0
0,569.6956336,362,2,1
0,563.8475758,363,2,0
3,595.0643553,364,2,8
1,747.6347943,367,2,2
1,946.3680339,372,2,2
3,970,373,2,4
3,948.9375632,374,2,2
1,1048.780591,375,2,2
0,1086.83105,376,2,7
0,1094.591643,377,2,7
4,-1016.271243,379,2,6
2,-533.0436066,380,2,3
2,-249.9056106,381,2,3
1,106.3979309,384,2,2
1,233.5063665,391,2,2
1,314.719253,394,2,2
0,461.541253,395,2,0
3,970,397,2,4
1,224.9287862,399,2,8
1,229.6145424,400,2,2
4,-478.672913,401,2,6
2,-400.7477535,402,2,3
3,-176.0824728,403,2,4
0,363.1711357,406,2,1
4,544.1899026,407,2,6
3,182.2970625,412,2,8
0,203.0014317,414,2,7
0,403.8189567,415,2,7
3,-245.5987267,417,2,8
4,-804.7958399,14,3,6
4,-810,15,3,6
2,-733.6926224,18,3,3
4,-716.104392,19,3,6
2,-674.7886545,23,3,3
3,-640.5996724,26,3,4
2,-609.8316817,27,3,3
2,-592.9579855,28,3,3
4,-582.1263021,30,3,6
2,-528.5320495,34,3,3
2,-499.7545816,35,3,3
2,-474.81936,36,3,3
2,-451.848075,38,3,3
4,-410.4080731,46,3,6
2,-375.8685535,47,3,3
4,-370,49,3,6
0,-329.9398005,55,3,7
0,-335.6975833,56,3,7
0,-300.4089983,58,3,1
